DATE,5 YR,7 YR,10 YR,20 YR,30 YR
1/2/2003,1.75,2.24,2.43,,
1/3/2003,1.75,2.25,2.43,,
1/6/2003,1.79,2.27,2.46,,
1/7/2003,1.76,2.24,2.42,,
1/8/2003,1.68,2.14,2.29,,
1/9/2003,1.82,2.23,2.41,,
1/10/2003,1.8,2.22,2.41,,
1/13/2003,1.77,2.2,2.38,,
1/14/2003,1.72,2.13,2.34,,
1/15/2003,1.69,2.1,2.3,,
1/16/2003,1.71,2.14,2.31,,
1/17/2003,1.6,2.06,2.25,,
1/21/2003,1.62,2.05,2.23,,
1/22/2003,1.6,2.04,2.23,,
1/23/2003,1.55,2,2.2,,
1/24/2003,1.47,1.93,2.14,,
1/27/2003,1.5,1.94,2.16,,
1/28/2003,1.52,1.98,2.19,,
1/29/2003,1.55,1.98,2.21,,
1/30/2003,1.56,2,2.2,,
1/31/2003,1.53,1.97,2.19,,
2/3/2003,1.53,2,2.2,,
2/4/2003,1.45,1.9,2.12,,
2/5/2003,1.46,1.91,2.12,,
2/6/2003,1.4,1.85,2.09,,
2/7/2003,1.37,1.84,2.07,,
2/10/2003,1.37,1.84,2.06,,
2/11/2003,1.38,1.84,2.05,,
2/12/2003,1.32,1.79,2.04,,
2/13/2003,1.29,1.76,2.01,,
2/14/2003,1.29,1.78,2.03,,
2/18/2003,1.29,1.78,2.05,,
2/19/2003,1.25,1.75,1.99,,
2/20/2003,1.13,1.64,1.91,,
2/21/2003,1.13,1.64,1.93,,
2/24/2003,1.04,1.59,1.87,,
2/25/2003,1,1.53,1.84,,
2/26/2003,1.01,1.55,1.84,,
2/27/2003,0.98,1.54,1.82,,
2/28/2003,0.94,1.48,1.77,,
3/3/2003,0.93,1.47,1.77,,
3/4/2003,0.9,1.45,1.77,,
3/5/2003,0.9,1.44,1.75,,
3/6/2003,0.9,1.43,1.74,,
3/7/2003,0.82,1.39,1.72,,
3/10/2003,0.79,1.36,1.69,,
3/11/2003,0.78,1.34,1.68,,
3/12/2003,0.78,1.34,1.68,,
3/13/2003,0.88,1.43,1.73,,
3/14/2003,1.15,1.52,1.89,,
3/17/2003,1.15,1.6,1.97,,
3/18/2003,1.3,1.72,2.08,,
3/19/2003,1.39,1.81,2.15,,
3/20/2003,1.35,1.85,2.2,,
3/21/2003,1.42,1.94,2.29,,
3/24/2003,1.32,1.83,2.18,,
3/25/2003,1.33,1.81,2.17,,
3/26/2003,1.29,1.81,2.15,,
3/27/2003,1.21,1.75,2.1,,
3/28/2003,1.14,1.72,2.09,,
3/31/2003,1.13,1.66,2.03,,
4/1/2003,1.14,1.63,2.02,,
4/2/2003,1.23,1.74,2.11,,
4/3/2003,1.23,1.74,2.12,,
4/4/2003,1.25,1.75,2.16,,
4/7/2003,1.38,1.86,2.21,,
4/8/2003,1.34,1.8,2.18,,
4/9/2003,1.32,1.81,2.13,,
4/10/2003,1.25,1.82,2.16,,
4/11/2003,1.33,1.86,2.23,,
4/14/2003,1.36,1.87,2.22,,
4/15/2003,1.34,1.86,2.18,,
4/16/2003,1.37,1.86,2.2,,
4/17/2003,1.41,1.9,2.22,,
4/21/2003,1.46,1.95,2.25,,
4/22/2003,1.5,1.97,2.27,,
4/23/2003,1.48,1.97,2.26,,
4/24/2003,1.46,1.92,2.22,,
4/25/2003,1.42,1.9,2.18,,
4/28/2003,1.42,1.87,2.16,,
4/29/2003,1.47,1.93,2.22,,
4/30/2003,1.4,1.88,2.16,,
5/1/2003,1.52,1.82,2.13,,
5/2/2003,1.56,1.86,2.19,,
5/5/2003,1.37,1.86,2.19,,
5/6/2003,1.34,1.82,2.17,,
5/7/2003,1.26,1.74,2.02,,
5/8/2003,1.28,1.67,2,,
5/9/2003,1.21,1.7,2,,
5/12/2003,1.21,1.68,1.96,,
5/13/2003,1.19,1.67,1.94,,
5/14/2003,1.15,1.58,1.87,,
5/15/2003,1.13,1.57,1.86,,
5/16/2003,1.12,1.55,1.84,,
5/19/2003,1.07,1.57,1.85,,
5/20/2003,0.99,1.44,1.73,,
5/21/2003,1.03,1.44,1.73,,
5/22/2003,1.02,1.45,1.71,,
5/23/2003,1.02,1.43,1.72,,
5/27/2003,1.09,1.51,1.8,,
5/28/2003,1.12,1.55,1.83,,
5/29/2003,1.04,1.47,1.76,,
5/30/2003,1.04,1.47,1.77,,
6/2/2003,1.08,1.51,1.83,,
6/3/2003,1,1.42,1.76,,
6/4/2003,0.94,1.41,1.73,,
6/5/2003,0.94,1.4,1.75,,
6/6/2003,0.96,1.41,1.76,,
6/9/2003,0.88,1.33,1.68,,
6/10/2003,0.81,1.26,1.61,,
6/11/2003,0.8,1.26,1.62,,
6/12/2003,0.78,1.24,1.57,,
6/13/2003,0.71,1.17,1.51,,
6/16/2003,0.79,1.24,1.59,,
6/17/2003,0.91,1.34,1.7,,
6/18/2003,0.98,1.44,1.79,,
6/19/2003,0.89,1.39,1.74,,
6/20/2003,0.92,1.41,1.77,,
6/23/2003,0.88,1.36,1.71,,
6/24/2003,0.84,1.33,1.68,,
6/25/2003,0.87,1.31,1.71,,
